E_mm_a,E_mm_n_left,E_mm_n_right
-1.2710000000000792,-1.99,2.5
-1.2700000000000793,-1.99,2.5
-1.2690000000000794,-1.99,2.5
-1.2680000000000795,-1.99,2.5
-1.2670000000000796,-1.99,2.5
-1.2660000000000797,-1.99,2.5
-1.2650000000000798,-1.99,2.5
-1.26400000000008,-1.99,2.5
-1.26300000000008,-1.99,2.5
-1.2620000000000802,-1.99,2.5
-1.2610000000000803,-1.99,2.5
-1.2600000000000804,-1.99,2.5
-1.2590000000000805,-1.99,2.5
-1.2580000000000806,-1.99,2.5
-1.2570000000000807,-1.99,2.5
-1.2560000000000808,-1.99,2.5
-1.255000000000081,-1.99,2.5
